id	log2FoldChange	padj	prot_ID	product	start	end	strand	GO_function	GO_process	GO_component	KEGG_definitions
PP_0001	0.000554236654163252	0.999930626872948	637143373	chromosome segregation DNA-binding protein	147	1019	-	GO:0003677 - DNA binding [Evidence IEA]	GO:0007059 - chromosome segregation [Evidence IEA]; GO:0000910 - cytokinesis [Evidence IEA]	NA	NA
PP_0002	0.0473137335306939	0.999930626872948	637143374	chromosome segregation ATPase	1029	1820	-	NA	NA	NA	NA
PP_0003	-0.13954212065624	0.999930626872948	637143375	16S rRNA m(7)G-527 methyltransferase (EC 2.1.1.170)	1839	2489	-	GO:0008168 - methyltransferase activity [Evidence IEA]	GO:0046118 - 7-methylguanosine biosynthetic process [Evidence IEA]; GO:0031167 - rRNA methylation [Evidence IEA]	GO:0005575 - cellular_component [Evidence IEA]	NA
PP_0004	-0.250113259693113	0.999930626872948	637143376	glucose-inhibited division protein A	2486	4381	-	GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]	GO:0008033 - tRNA processing [Evidence IEA]; GO:0002098 - tRNA wobble uridine modification [Evidence IEA]	NA	NA
PP_0005	-0.265000713296097	0.999930626872948	637143377	tRNA modification GTPase trmE	5012	6382	-	GO:0005525 - GTP binding [Evidence IEA]; GO:0003924 - GTPase activity [Evidence IEA]; GO:0005515 - protein binding [Evidence IEA]	GO:0006400 - tRNA modification [Evidence IEA]	NA	NA
PP_0006	0.10306108672915	0.999930626872948	637143378	protein translocase subunit yidC	6471	8153	-	GO:0032977 - membrane insertase activity [Evidence IEA]	NA	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Quorum sensing</li> <li>Protein export</li> <li>Bacterial secretion system</li></ul>
PP_0007	-0.120395314459768	0.999930626872948	637143379	conserved hypothetical protein TIGR00278	8156	8401	-	NA	NA	NA	NA
PP_0008	0.241074028120705	0.999930626872948	637143380	ribonuclease P protein component (EC 3.1.26.5)	8394	8798	-	GO:0004526 - ribonuclease P activity [Evidence IEA]	GO:0006396 - RNA processing [Evidence IEA]	NA	NA
PP_0009	0.363439867719542	0.999930626872948	637143381	LSU ribosomal protein L34P	8812	8946	-	GO:0003735 - structural constituent of ribosome [Evidence IEA]	GO:0006412 - translation [Evidence IEA]	GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]; GO:0000315 - organellar large ribosomal subunit [Evidence IEA]	<ul><li>Ribosome</li></ul>
PP_0010	0.178743840728106	0.999930626872948	637143382	chromosomal replication initiator protein DnaA	9542	11062	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003677 - DNA binding [Evidence IEA]; GO:0003688 - DNA replication origin binding [Evidence IEA]	GO:0006270 - DNA replication initiation [Evidence IEA]; GO:0006275 - regulation of DNA replication [Evidence IEA]	NA	<ul><li>Two-component system</li></ul>
PP_0011	0.218894889639584	0.999930626872948	637143383	DNA polymerase III, beta subunit (EC 2.7.7.7)	11103	12206	+	GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA]	GO:0006260 - DNA replication [Evidence IEA]	GO:0009360 - DNA polymerase III complex [Evidence IEA]	<ul><li>DNA replication</li> <li>Mismatch repair</li> <li>Homologous recombination</li></ul>
PP_0012	0.120134652510701	0.999930626872948	637143384	DNA replication and repair protein RecF	12222	13325	+	GO:0005524 - ATP binding [Evidence IEA]; GO:0003697 - single-stranded DNA binding [Evidence IEA]	GO:0006281 - DNA repair [Evidence IEA]	NA	<ul><li>Homologous recombination</li></ul>
PP_0013	-0.196113258078963	0.999930626872948	637143385	DNA gyrase subunit B (EC 5.99.1.3)	13330	15750	+	GO:0003918 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [Evidence IEA]	GO:0006265 - DNA topological change [Evidence IEA]	GO:0009330 - DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [Evidence IEA]	NA
PP_0014	-0.336550227787297	0.999930626872948	637143386	transposase, putative	17133	19166	+	NA	GO:0015074 - DNA integration [Evidence IEA]	NA	NA
PP_0015	-0.223644436303719	0.999930626872948	637143387	GTP-binding protein, putative	19163	20122	+	NA	NA	NA	NA
PP_0016	0.0597173258402933	0.999930626872948	637143388	hypothetical protein	20198	22114	+	NA	NA	NA	NA
PP_0017	-0.243412748377118	0.999930626872948	637143389	H-NS family protein MvaT	22171	22530	+	NA	NA	NA	NA
PP_0018	0.0885393297249648	0.999930626872948	637143390	hypothetical protein	23176	24018	+	NA	NA	NA	NA
PP_0019	-0.123947562295489	0.999930626872948	637143391	hypothetical protein	24000	24698	+	NA	NA	NA	NA
PP_0020	-0.0545974672686497	0.999930626872948	637143392	hypothetical protein	24695	25570	+	NA	NA	NA	NA
PP_0021	-0.115754826746391	0.999930626872948	637143393	hypothetical protein	25881	26804	+	NA	NA	NA	NA
PP_0023	0.730363676221447	0.999930626872948	637143395	hypothetical protein	27599	27727	-	NA	NA	NA	NA
PP_0024	-0.00995216185617578	0.999930626872948	637143396	phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase	27850	29547	-	GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	NA	NA	<ul><li>Lipopolysaccharide biosynthesis</li></ul>
PP_0026	-0.150473157107269	0.999930626872948	637143398	cobalt/cadmium/zinc transporter, CDF family	30431	31336	+	NA	NA	NA	NA
PP_0027	0.141518685715601	0.999930626872948	637143399	hypothetical protein	31404	31844	+	NA	NA	NA	NA
PP_0029	0.107495800385532	0.999930626872948	637143401	DNA-binding response regulator CzrR	32893	33567	+	GO:0003677 - DNA binding [Evidence IEA]	GO:0006355 - regulation of transcription, DNA-templated [Evidence IEA]	NA	NA
PP_0030	0.176225584037948	0.999930626872948	637143402	sensor histidine kinase	33564	34982	+	GO:0000155 - phosphorelay sensor kinase activity [Evidence IEA]; GO:0004673 - protein histidine kinase activity [Evidence IEA]; GO:0016772 - transferase activity, transferring phosphorus-containing groups [Evidence IEA]	GO:0000160 - phosphorelay signal transduction system [Evidence IEA]; GO:0016310 - phosphorylation [Evidence IEA]	GO:0016021 - integral component of membrane [Evidence IEA]	<ul><li>Two-component system</li></ul>
